Player Name,Team Name,Price,Year
Deepak hooda,Kings XI Punjab,0.5 crore,2020
Harry Dixon,Kings XI Punjab,0.5 crore,2020
Mandeep singh,Kings XI Punjab,0.5 crore,2020
Christopher King,Kings XI Punjab,0.3 crore,2020
Sarfaraz khan,Kings XI Punjab,0.25 crore,2020
Heath Richards,Kings XI Punjab,0.2 crore,2020
Iain Carlisle,Kings XI Punjab,0.2 crore,2020
Jagadeesha suchith,Kings XI Punjab,0.2 crore,2020
Murugan ashwin,Kings XI Punjab,0.2 crore,2020
Arshdeep singh,Kings XI Punjab,0.2 crore,2020
Patrick cummins,Kolkata Knight Riders,15.5 crore,2020
Sunil narine,Kolkata Knight Riders,12.5 crore,2020
Andre russell,Kolkata Knight Riders,8.5 crore,2020
Kuldeep yadav,Kolkata Knight Riders,5.8 crore,2020
Dinesh karthik,Kolkata Knight Riders,5.4 crore,2020
Eoin morgan,Kolkata Knight Riders,5.25 crore,2020
Varun chakravarthy,Kolkata Knight Riders,4 crore,2020
Nitish rana,Kolkata Knight Riders,3.4 crore,2020
Kamlesh Nagarkoti,Kolkata Knight Riders,3.2 crore,2020
Shivam mavi,Kolkata Knight Riders,3 crore,2020
Joshua Tromp,Kolkata Knight Riders,1.8 crore,2020
Lockie ferguson,Kolkata Knight Riders,1.6 crore,2020
Tom Banton,Kolkata Knight Riders,1 crore,2020
Rinku singh,Kolkata Knight Riders,0.8 crore,2020
Harry gurney,Kolkata Knight Riders,0.75 crore,2020
Rahul tripathi,Kolkata Knight Riders,0.6 crore,2020
Chris Green,Kolkata Knight Riders,0.2 crore,2020
Keaton Jennings,Kolkata Knight Riders,0.2 crore,2020
Luvnith Sisodia,Kolkata Knight Riders,0.2 crore,2020
Pravin tambe,Kolkata Knight Riders,0.2 crore,2020
Sandeep warrier,Kolkata Knight Riders,0.2 crore,2020
Siddhesh lad,Kolkata Knight Riders,0.2 crore,2020
Prasidh krishna,Kolkata Knight Riders,0 crore,2020
Rohit sharma,Mumbai Indians,15 crore,2020
Krunal pandya,Mumbai Indians,8.8 crore,2020
Nathan coulter nile,Mumbai Indians,8 crore,2020
Jasprit bumrah,Mumbai Indians,7 crore,2020
Ishan kishan,Mumbai Indians,6.2 crore,2020
Kieron Pollard,Mumbai Indians,5.4 crore,2020
Trent boult,Mumbai Indians,3.2 crore,2020
Quinton de Kock,Mumbai Indians,2.8 crore,2020
Suryakumar yadav,Mumbai Indians,2.2 crore,2020
